"S","ID","Rank1","real","Rank2"
-6.8121295,"PV-007331801176",180,"not active",
-6.8120184,"PV-005290069196",181,"not active",
-6.8098788,"PV-009001605975",182,"not active",
-6.8089404,"PV-003053206856",183,"not active",
-6.8064079,"PV-009946819210",184,"not active",
-6.8057537,"PV-007956933768",185,"not active",
-6.8027458,"PV-009818920135",186,"not active",
-6.8016772,"PV-010027015313",187,"not active",
-6.8012943,"PV-000517217816",188,"not active",
-6.8009071,"PV-004344777667",189,"not active",
-6.8004313,"PV-005260285812",190,"not active",420
-6.8002377,"PV-006360328054",191,"not active",
-6.7998271,"PV-006340774260",192,"not active",208
-6.7997251,"PV-008097868603",193,"not active",
-6.7989926,"PV-009905984023",194,"not active",
-6.7980509,"PV-009825792348",195,"not active",1495
-6.7975206,"PV-009925781377",196,"not active",
-6.7974939,"PV-008308326232",197,"not active",
-6.7963076,"PV-004028587401",198,"not active",13
-6.7961884,"PV-006921466119",199,"not active",
-6.7959719,"PV-008612006219",200,"not active",
-6.7957864,"PV-004679058235",201,"not active",
-6.7947812,"PV-005415826056",203,"not active",1341
-6.7945089,"PV-009746173113",204,"not active",
-6.7936568,"PV-001748349360",205,"not active",
-6.793344,"PV-005831437826",206,"not active",
-6.7930164,"PV-009433766341",207,"not active",
-6.7920489,"PV-006468543841",209,"not active",
-6.787395,"PV-007949858804",210,"not active",
-6.7860079,"PV-008641574773",211,"not active",
-6.7854795,"PV-008689736175",212,"not active",
-6.7852583,"PV-009710885751",213,"not active",
-6.7848954,"PV-008641580275",214,"not active",
-6.7805653,"PV-004224501709",216,"not active",
-6.7790232,"PV-006361238424",217,"not active",
-6.7773094,"PV-006306294632",218,"not active",
-6.7770519,"PV-000530040395",219,"not active",
-6.7758994,"PV-000494044298",220,"not active",
-6.7758379,"PV-006440813446",221,"not active",
-6.7756095,"PV-008099743437",222,"not active",
-6.7754164,"PV-005677717233",223,"not active",
-6.7752266,"PV-008527267358",224,"not active",359
-6.7748065,"PV-005022641245",225,"not active",
-6.7743368,"PV-009453603620",227,"not active",
-6.774159,"PV-007988279029",228,"not active",887
-6.7730117,"PV-008481573706",229,"not active",964
-6.7721028,"PV-004809456707",230,"not active",1056
-6.7717223,"PV-008452285683",231,"not active",
-6.7714534,"PV-009956905902",233,"not active",
-6.771204,"PV-006444299012",234,"not active",
-6.7710814,"PV-009995978706",235,"not active",
-6.7696419,"PV-001368247265",236,"not active",
-6.7688823,"PV-006025247861",237,"not active",
-6.7686515,"PV-007956976211",238,"not active",
-6.7671275,"PV-008555281296",239,"not active",
-6.7663713,"PV-004456607948",240,"not active",
-6.7661672,"PV-009854875373",241,"not active",
-6.76443,"PV-009937215091",243,"not active",
-6.7631702,"PV-006891422844",244,"not active",
-6.7624741,"PV-007270857831",245,"not active",
-6.7620606,"PV-006145089333",246,"not active",
-6.7612691,"PV-005266818952",247,"not active",
-6.761127,"PV-000270245671",248,"not active",885
-6.7609811,"PV-006589223366",249,"not active",
-6.7605691,"PV-009820765423",250,"not active",
-6.7597876,"PV-007196285742",251,"not active",
-6.7581239,"PV-006119666291",252,"not active",17
-6.7577815,"PV-007534831057",253,"not active",
-6.7577147,"PV-003011944490",254,"not active",
-6.7571206,"PV-008857409889",255,"not active",
-6.7567902,"PV-008099305919",256,"not active",
-6.7562222,"PV-006292339268",257,"not active",
-6.7558188,"PV-006387223321",258,"not active",
-6.7557836,"PV-010025385041",259,"not active",
-6.7556243,"PV-007198314369",260,"not active",
-6.7546926,"PV-008351206053",261,"not active",
-6.7544923,"PV-010006758932",262,"not active",
-6.7533364,"PV-006132621690",263,"not active",
-6.7529087,"PV-005799439932",264,"not active",193
-6.7482643,"PV-006161533759",265,"not active",
-6.7481627,"PV-004491836771",266,"not active",
-6.7477503,"PV-007519198506",267,"not active",
-6.7476048,"PV-000511823769",268,"not active",
-6.7473078,"PV-001391162888",269,"not active",
-6.7471457,"PV-009578726954",270,"not active",
-6.7468033,"PV-004108344763",271,"not active",
-6.7451587,"PV-009698345469",272,"not active",
-6.7447343,"PV-005585211344",273,"not active",
-6.7438827,"PV-006348425815",274,"not active",
-6.743587,"PV-009754120573",275,"not active",
-6.7431893,"PV-001129134526",276,"not active",
-6.7427096,"PV-008024654696",277,"not active",
-6.7425308,"PV-005420747867",278,"not active",
-6.7423425,"PV-006579709822",279,"not active",
-6.7403774,"PV-003408249808",280,"not active",
-6.739872,"PV-004857660218",281,"not active",
-6.7392335,"PV-008238827773",282,"not active",
-6.7387462,"PV-007147358870",283,"not active",
-6.7384849,"PV-009168530936",284,"not active",
-6.738318,"PV-007982054251",285,"not active",804
-6.7381573,"PV-006044405252",286,"not active",
-6.7377505,"PV-008378514429",287,"not active",
-6.7375283,"PV-005874587610",288,"not active",
-6.7373953,"PV-005667008335",289,"not active",
-6.7371335,"PV-007063726276",290,"not active",
-6.7368546,"PV-009640261586",291,"not active",
-6.7365885,"PV-004421611229",292,"not active",
